--- Trace ID: 86f685e2a5f70b88762108c89f43886b ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 36.93 ms | Start Offset: 0.00 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.82 ms | Start Offset: 13.79 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.46 ms | Start Offset: 15.93 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 4.77 ms | Start Offset: 18.46 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 4.28 ms | Start Offset: 18.77 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.58 ms | Start Offset: 21.24 ms


--- Trace ID: 6e543fbf46ee89db655d968afc06aa32 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 36.86 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 10.79 ms | Start Offset: 2.27 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 8.49 ms | Start Offset: 3.88 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 5.65 ms | Start Offset: 5.73 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 3.17 ms | Start Offset: 7.78 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.83 ms | Start Offset: 15.34 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.82 ms | Start Offset: 17.05 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.59 ms | Start Offset: 17.82 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.92 ms | Start Offset: 18.60 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.54 ms | Start Offset: 20.79 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.22 ms | Start Offset: 21.10 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.13 ms | Start Offset: 25.34 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.25 ms | Start Offset: 26.04 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.57 ms | Start Offset: 28.25 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 4.02 ms | Start Offset: 31.29 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 3.41 ms | Start Offset: 31.68 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.61 ms | Start Offset: 32.42 ms


--- Trace ID: 6add43521f0ce8dc7b16b5361e4c0aec ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 39.39 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 11.22 ms | Start Offset: 2.88 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 8.73 ms | Start Offset: 4.89 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 5.80 ms | Start Offset: 7.05 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 3.11 ms | Start Offset: 9.23 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.93 ms | Start Offset: 15.70 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 7.16 ms | Start Offset: 16.98 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.89 ms | Start Offset: 17.70 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 5.08 ms | Start Offset: 18.35 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.41 ms | Start Offset: 20.39 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.19 ms | Start Offset: 20.70 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 6.01 ms | Start Offset: 26.00 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.99 ms | Start Offset: 26.80 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.49 ms | Start Offset: 29.49 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 4.01 ms | Start Offset: 33.10 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 3.30 ms | Start Offset: 33.57 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.71 ms | Start Offset: 34.35 ms


--- Trace ID: 4633e2369467bd64dc54dfbfa7c55d12 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 21.41 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 5.27 ms | Start Offset: 0.91 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 4.41 ms | Start Offset: 1.61 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 3.16 ms | Start Offset: 2.51 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 2.35 ms | Start Offset: 3.20 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.10 ms | Start Offset: 6.70 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.35 ms | Start Offset: 7.29 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 3.80 ms | Start Offset: 7.63 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.35 ms | Start Offset: 7.90 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.35 ms | Start Offset: 9.13 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.09 ms | Start Offset: 9.35 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.57 ms | Start Offset: 12.51 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.90 ms | Start Offset: 13.07 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.39 ms | Start Offset: 15.12 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.45 ms | Start Offset: 17.77 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.08 ms | Start Offset: 18.03 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.32 ms | Start Offset: 18.68 ms


--- Trace ID: 39e5bf51201f1829cca36d9c0621c4ca ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 102.76 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 33.71 ms | Start Offset: 3.01 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 22.75 ms | Start Offset: 13.66 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 14.12 ms | Start Offset: 21.39 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 4.65 ms | Start Offset: 30.67 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 42.30 ms | Start Offset: 38.71 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 32.05 ms | Start Offset: 48.74 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 29.77 ms | Start Offset: 50.59 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 24.26 ms | Start Offset: 53.27 ms
10.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.87 ms | Start Offset: 73.93 ms
11.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.89 ms | Start Offset: 73.97 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 9.28 ms | Start Offset: 83.31 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 7.69 ms | Start Offset: 84.50 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.71 ms | Start Offset: 89.09 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.44 ms | Start Offset: 98.07 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.78 ms | Start Offset: 98.53 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.54 ms | Start Offset: 99.36 ms


--- Trace ID: 89b9e14a6efa035374a2fb2f2e9f11b4 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 19.64 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 4.61 ms | Start Offset: 0.70 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.83 ms | Start Offset: 1.25 ms
4.   Service: start-choice-service      | Operation: POST /firstChoice                        | Duration: 2.66 ms | Start Offset: 2.01 ms
5.   Service: first-choice-service      | Operation: POST /firstChoice                        | Duration: 1.90 ms | Start Offset: 2.66 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.16 ms | Start Offset: 5.86 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.32 ms | Start Offset: 6.52 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 3.44 ms | Start Offset: 6.88 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.30 ms | Start Offset: 7.16 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.06 ms | Start Offset: 8.36 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.08 ms | Start Offset: 8.44 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 3.37 ms | Start Offset: 11.92 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 2.74 ms | Start Offset: 12.36 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.29 ms | Start Offset: 13.79 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.66 ms | Start Offset: 15.96 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.11 ms | Start Offset: 16.21 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.60 ms | Start Offset: 16.67 ms


--- Trace ID: c2c89701e12dcf85a871231f7b36437f ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 27.81 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 6.32 ms | Start Offset: 1.92 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 4.82 ms | Start Offset: 3.01 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 2.81 ms | Start Offset: 4.34 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 1.26 ms | Start Offset: 5.45 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 7.37 ms | Start Offset: 9.26 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 5.96 ms | Start Offset: 10.18 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 6.98 ms | Start Offset: 10.63 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.39 ms | Start Offset: 11.02 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.00 ms | Start Offset: 12.49 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.77 ms | Start Offset: 12.71 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.36 ms | Start Offset: 17.89 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.51 ms | Start Offset: 18.51 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.44 ms | Start Offset: 20.43 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.29 ms | Start Offset: 23.02 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.77 ms | Start Offset: 23.35 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.53 ms | Start Offset: 23.95 ms


--- Trace ID: adbb8bf5d5890afe67d8ac3391f99000 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 26.61 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 5.33 ms | Start Offset: 1.74 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.91 ms | Start Offset: 2.91 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 2.32 ms | Start Offset: 4.02 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.27 ms | Start Offset: 4.91 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 7.34 ms | Start Offset: 7.71 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.31 ms | Start Offset: 8.47 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.58 ms | Start Offset: 8.96 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.44 ms | Start Offset: 9.45 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.40 ms | Start Offset: 10.88 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.98 ms | Start Offset: 11.09 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.29 ms | Start Offset: 16.01 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.28 ms | Start Offset: 16.80 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.36 ms | Start Offset: 18.97 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.23 ms | Start Offset: 22.04 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.67 ms | Start Offset: 22.34 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.45 ms | Start Offset: 22.94 ms


--- Trace ID: 64d1237950f14674e456fdc26193c3ae ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 43.74 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 20.57 ms | Start Offset: 1.06 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 19.50 ms | Start Offset: 1.83 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 16.67 ms | Start Offset: 4.19 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 5.60 ms | Start Offset: 15.05 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 7.58 ms | Start Offset: 22.34 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.34 ms | Start Offset: 23.34 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.57 ms | Start Offset: 23.83 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.99 ms | Start Offset: 24.19 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.65 ms | Start Offset: 25.60 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 2.36 ms | Start Offset: 25.83 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.40 ms | Start Offset: 32.72 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.63 ms | Start Offset: 33.25 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.35 ms | Start Offset: 36.57 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.16 ms | Start Offset: 39.04 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.52 ms | Start Offset: 39.30 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.44 ms | Start Offset: 39.84 ms


--- Trace ID: a5e5421b07733864311f95fc29e06f4e ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 32.35 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 8.66 ms | Start Offset: 2.16 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 6.74 ms | Start Offset: 3.74 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 3.75 ms | Start Offset: 5.49 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 1.70 ms | Start Offset: 7.20 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 7.92 ms | Start Offset: 12.08 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.79 ms | Start Offset: 13.02 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 3.58 ms | Start Offset: 13.83 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 5.10 ms | Start Offset: 14.31 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 0.80 ms | Start Offset: 15.74 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 2.66 ms | Start Offset: 15.86 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.29 ms | Start Offset: 20.86 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.48 ms | Start Offset: 21.43 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.38 ms | Start Offset: 23.36 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.64 ms | Start Offset: 25.86 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 3.13 ms | Start Offset: 26.18 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.44 ms | Start Offset: 26.72 ms


--- Trace ID: 030720326386df8a42ca66772a368cbd ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 20.44 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 3.75 ms | Start Offset: 0.89 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 2.95 ms | Start Offset: 1.59 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 1.90 ms | Start Offset: 2.31 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.10 ms | Start Offset: 2.97 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.71 ms | Start Offset: 5.12 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 7.96 ms | Start Offset: 5.69 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 7.33 ms | Start Offset: 6.07 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.76 ms | Start Offset: 6.35 ms
10.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.83 ms | Start Offset: 7.40 ms
11.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.28 ms | Start Offset: 7.57 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 2.88 ms | Start Offset: 14.56 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 2.42 ms | Start Offset: 14.90 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.27 ms | Start Offset: 16.24 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 1.64 ms | Start Offset: 18.03 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 1.38 ms | Start Offset: 18.22 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.30 ms | Start Offset: 18.62 ms


--- Trace ID: 13017c534972041c300d29a61bfdcb3c ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 41.19 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 19.72 ms | Start Offset: 2.15 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 18.07 ms | Start Offset: 3.48 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 12.88 ms | Start Offset: 8.12 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 3.20 ms | Start Offset: 17.51 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 7.33 ms | Start Offset: 22.79 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.05 ms | Start Offset: 23.67 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.82 ms | Start Offset: 24.12 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.88 ms | Start Offset: 24.50 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.90 ms | Start Offset: 25.75 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 2.21 ms | Start Offset: 26.10 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.66 ms | Start Offset: 31.13 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.94 ms | Start Offset: 31.67 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.51 ms | Start Offset: 33.62 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.09 ms | Start Offset: 36.57 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.48 ms | Start Offset: 36.85 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.35 ms | Start Offset: 37.43 ms


--- Trace ID: 27845f50b56a024fc09324f9aaa02a09 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 21.92 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 5.02 ms | Start Offset: 0.78 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 4.19 ms | Start Offset: 1.46 ms
4.   Service: start-choice-service      | Operation: POST /firstChoice                        | Duration: 2.92 ms | Start Offset: 2.19 ms
5.   Service: first-choice-service      | Operation: POST /firstChoice                        | Duration: 1.91 ms | Start Offset: 3.06 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 4.99 ms | Start Offset: 6.40 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.22 ms | Start Offset: 7.00 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 3.42 ms | Start Offset: 7.44 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 2.83 ms | Start Offset: 7.84 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 0.97 ms | Start Offset: 8.89 ms
